customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnVal,gender,SeniorCitizen,Partner,Dependents
0557-ASKVU,18,Yes,One year,Yes,Credit card (automatic),54.4,957.1,0,0,Female,0,Yes,Yes
5122-CYFXA,3,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0,Female,0,No,No
8627-ZYGSZ,47,Yes,One year,Yes,Electronic check,78.9,3650.35,0,0,Male,0,Yes,No
3410-YOQBQ,31,Yes,Two year,No,Mailed check,79.2,2497.2,0,0,Female,0,No,No
3170-NMYVV,50,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,0,0,Female,0,Yes,Yes
7410-OIEDU,10,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,0,0,Male,0,No,No
2273-QCKXA,1,Yes,Month-to-month,No,Mailed check,49.05,49.05,0,0,Male,0,No,No
0731-EBJQB,52,Yes,One year,Yes,Electronic check,20.4,1090.65,0,0,Female,0,Yes,Yes
1891-QRQSA,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,0,0,Male,1,Yes,Yes
8028-PNXHQ,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0,Male,0,Yes,Yes
5630-AHZIL,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0,Female,0,No,Yes
2673-CXQEU,56,Yes,One year,No,Electronic check,110.5,6139.5,0,0,Female,1,No,No
6416-JNVRK,46,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,0,Female,0,No,No
5590-ZSKRV,8,Yes,Month-to-month,No,Mailed check,54.65,482.25,0,0,Female,0,Yes,Yes
0191-ZHSKZ,30,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0,Male,1,No,No
3887-PBQAO,45,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,0,0,Female,0,Yes,Yes
8108-UXRQN,11,No,Month-to-month,No,Electronic check,50.55,565.35,0,0,Female,0,Yes,Yes
9919-YLNNG,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0,Female,0,No,No
0318-ZOPWS,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0,Female,0,Yes,No
4445-ZJNMU,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0,Male,0,No,No
4808-YNLEU,35,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0,Female,0,Yes,No
1862-QRWPE,48,Yes,Two year,No,Bank transfer (automatic),20.65,1057,0,0,Female,0,Yes,Yes
2796-NNUFI,46,Yes,Two year,Yes,Mailed check,19.95,927.1,0,0,Female,0,Yes,Yes
3016-KSVCP,29,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0,Male,0,Yes,No
4767-HZZHQ,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0,Male,0,Yes,Yes
2424-WVHPL,1,Yes,Month-to-month,No,Electronic check,74.7,74.7,0,0,Male,1,No,No
7233-PAHHL,66,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0,Male,0,Yes,Yes
6067-NGCEU,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,0,0,Female,0,No,No
9848-JQJTX,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0,Male,0,No,No
9803-FTJCG,71,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,0,0,Male,0,Yes,Yes
3212-KXOCR,52,Yes,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0,Male,0,No,No
6380-ARCEH,1,Yes,Month-to-month,No,Mailed check,20.2,20.2,0,0,Male,0,No,No
3679-XASPY,1,Yes,Month-to-month,No,Electronic check,19.45,19.45,0,0,Female,0,Yes,Yes
7123-WQUHX,38,Yes,One year,No,Bank transfer (automatic),95.0,3605.6,0,0,Male,0,No,No
5386-THSLQ,66,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0,Female,1,Yes,No
6180-YBIQI,5,No,Month-to-month,No,Mailed check,24.3,100.2,0,0,Male,0,No,No
6728-DKUCO,72,Yes,One year,Yes,Electronic check,104.15,7303.05,0,0,Female,0,Yes,Yes
9750-BOOHV,32,No,One year,No,Mailed check,30.15,927.65,0,0,Female,0,No,No
8597-CWYHH,43,Yes,One year,No,Mailed check,94.35,3921.3,0,0,Male,0,No,No
2848-YXSMW,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25,0,0,Male,0,Yes,Yes
4549-ZDQYY,52,Yes,One year,No,Credit card (automatic),57.95,3042.25,0,0,Female,0,No,No
5712-AHQNN,43,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,0,0,Female,0,No,No
5256-SKJGO,64,No,Two year,Yes,Electronic check,54.6,3423.5,0,0,Female,0,Yes,Yes
3071-VBYPO,3,Yes,Month-to-month,No,Electronic check,89.85,248.4,0,0,Male,0,Yes,Yes
9560-BBZXK,36,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,0,Female,0,No,No
8402-OOOHJ,41,Yes,Two year,No,Mailed check,20.65,835.15,0,0,Female,0,No,No
9445-ZUEQE,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,0,Male,0,Yes,Yes
1091-SOZGA,56,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,0,Female,0,Yes,Yes
2928-HLDBA,6,Yes,Month-to-month,No,Mailed check,20.7,112.75,0,0,Female,0,No,No
6497-TILVL,7,Yes,Month-to-month,No,Mailed check,50.7,350.35,0,0,Female,0,Yes,Yes
7219-TLZHO,4,Yes,Month-to-month,No,Mailed check,20.85,62.9,0,0,Female,0,Yes,Yes
4622-YNKIJ,33,Yes,Two year,Yes,Electronic check,88.95,3027.65,0,0,Male,0,No,No
6734-PSBAW,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,0,Male,0,Yes,No
3930-ZGWVE,1,Yes,Month-to-month,No,Mailed check,19.75,19.75,0,0,Male,0,No,No
2639-UGMAZ,71,No,One year,Yes,Electronic check,56.45,3985.35,0,0,Male,1,No,No
2876-GZYZC,13,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,0,0,Female,0,No,No
8587-XYZSF,67,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,0,0,Male,0,No,No
7799-LGRDP,43,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,0,0,Female,0,No,No
7850-VWJUU,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,0,Female,0,No,No
3774-VBNXY,64,Yes,Two year,No,Mailed check,20.2,1277.75,0,0,Female,0,Yes,Yes
6217-KDYWC,57,Yes,Two year,Yes,Mailed check,19.6,1170.55,0,0,Male,0,No,Yes
3146-MSEGF,72,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,0,0,Female,1,Yes,Yes
1095-WGNGG,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,0,0,Female,0,Yes,No
2636-SJDOU,64,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,0,0,Male,0,No,No
1131-QQZEB,71,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,0,0,Male,1,Yes,No
5716-EZXZN,65,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,0,0,Female,0,Yes,Yes
6837-BJYDQ,3,Yes,One year,No,Mailed check,19.6,61.35,0,0,Male,0,No,No
6440-DKQGE,30,Yes,One year,No,Credit card (automatic),64.5,1929.95,0,0,Male,0,No,Yes
3466-BYAVD,15,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,0,0,Male,0,Yes,Yes
3780-YVMFA,8,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,0,0,Female,0,Yes,Yes
1679-JRFBR,70,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,0,0,Female,0,Yes,Yes
9073-ZZIAY,62,Yes,Two year,No,Electronic check,86.1,5215.25,0,0,Male,0,Yes,Yes
3077-RSNTJ,6,Yes,Month-to-month,No,Mailed check,19.7,113.5,0,0,Female,0,Yes,Yes
6551-GNYDG,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0,0,Female,0,Yes,Yes
9167-APMXZ,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,0,0,Female,0,No,No
2749-CTKAJ,22,Yes,One year,No,Mailed check,20.15,419.9,0,0,Male,0,Yes,Yes
6371-NZYEG,16,Yes,Two year,No,Mailed check,64.25,1024,0,0,Male,0,Yes,Yes
7554-NEWDD,10,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,0,0,Male,0,No,No
8992-VONJD,13,Yes,Month-to-month,Yes,Electronic check,56.0,764.55,0,0,Female,0,No,Yes
4482-EWFMI,2,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,0,0,Female,0,No,No
4648-YPBTM,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,0,0,Male,0,No,No
2907-ILJBN,11,Yes,One year,No,Mailed check,20.6,233.9,0,0,Female,0,Yes,Yes
6345-FZOQH,69,Yes,Two year,No,Mailed check,19.9,1363.45,0,0,Male,0,Yes,No
5997-OPVFA,72,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,0,0,Male,0,Yes,No
1159-WFSGR,16,Yes,Month-to-month,No,Electronic check,20.4,321.4,0,0,Female,0,Yes,Yes
7654-YWJUF,43,Yes,One year,Yes,Bank transfer (automatic),84.25,3539.25,0,0,Male,0,Yes,No
6727-IOTLZ,14,Yes,Two year,No,Mailed check,81.95,1181.75,0,0,Male,0,Yes,No
5918-VUKWP,32,Yes,One year,No,Bank transfer (automatic),20.55,654.55,0,0,Female,0,No,No
1744-JHKYS,34,Yes,Month-to-month,No,Electronic check,24.7,780.2,0,0,Female,0,Yes,No
5947-SGKCL,15,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,0,0,Female,0,Yes,Yes
3712-PKXZA,61,Yes,One year,Yes,Credit card (automatic),20.55,1252,0,0,Male,0,Yes,No
6582-OIVSP,1,Yes,Month-to-month,No,Mailed check,45.3,45.3,0,0,Female,0,No,No
5524-KHNJP,33,Yes,One year,No,Credit card (automatic),74.75,2453.3,0,0,Male,0,Yes,Yes
4827-USJHP,20,Yes,Month-to-month,Yes,Mailed check,51.8,1023.85,0,0,Male,0,No,No
8167-GJLRN,3,No,Month-to-month,No,Electronic check,30.4,82.15,0,0,Male,0,No,No
0956-SYCWG,13,Yes,One year,No,Electronic check,19.65,244.8,0,0,Female,0,No,No
8017-UVSZU,40,Yes,Month-to-month,No,Credit card (automatic),56.6,2379.1,0,0,Female,0,Yes,No
7100-FQPRV,43,Yes,One year,Yes,Credit card (automatic),71.9,3173.35,0,0,Male,0,Yes,Yes
2984-RGEYA,69,Yes,Two year,No,Bank transfer (automatic),19.75,1375.4,0,0,Female,0,Yes,Yes
9680-NIAUV,72,Yes,Two year,No,Credit card (automatic),109.7,8129.3,0,0,Female,0,Yes,Yes
2146-EGVDT,59,Yes,Two year,No,Credit card (automatic),19.3,1192.7,0,0,Male,0,Yes,Yes
2604-IJPDU,20,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65,0,0,Female,0,Yes,No
9178-JHUVJ,24,Yes,Two year,Yes,Bank transfer (automatic),24.1,587.4,0,0,Male,0,Yes,Yes
6168-YBYNP,59,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,0,0,Male,0,No,No
7255-SSFBC,72,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,0,0,Male,0,Yes,Yes
3645-DEYGF,1,Yes,Month-to-month,No,Mailed check,20.75,20.75,0,0,Male,0,No,Yes
9323-HGFWY,27,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,0,0,Female,0,Yes,No
8544-GOQSH,14,Yes,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,0,0,Female,0,No,No
3363-DTIVD,71,Yes,Two year,No,Electronic check,105.55,7405.5,0,0,Male,0,Yes,Yes
7018-WBJNK,13,Yes,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,0,0,Male,0,No,Yes
9142-KZXOP,44,Yes,Month-to-month,No,Credit card (automatic),68.85,2958.95,0,0,Male,0,No,No
7674-YTAFD,33,Yes,One year,Yes,Bank transfer (automatic),79.95,2684.85,0,0,Female,0,No,No
6348-SNFUS,72,No,Two year,Yes,Credit card (automatic),55.45,4179.2,0,0,Male,0,Yes,Yes
1347-KTTTA,64,Yes,One year,Yes,Credit card (automatic),102.45,6654.1,0,0,Male,0,Yes,No
4195-NZGTA,1,No,Month-to-month,No,Electronic check,25.25,25.25,0,0,Female,0,No,No
7157-SMCFK,61,Yes,Two year,No,Mailed check,19.75,1124.2,0,0,Male,0,No,Yes
4709-LKHYG,29,Yes,One year,No,Electronic check,20.0,540.05,0,0,Female,0,Yes,Yes
2504-DSHIH,23,Yes,Month-to-month,No,Electronic check,86.8,1975.85,0,0,Male,1,Yes,No
0699-NDKJM,57,No,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,0,0,Female,0,Yes,No
9286-BHDQG,72,No,Two year,No,Credit card (automatic),45.25,3139.8,0,0,Male,0,Yes,Yes
0230-WEQUW,66,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,0,0,Male,0,Yes,No
2040-LDIWQ,65,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5,0,0,Male,0,Yes,Yes
6496-JDSSB,8,Yes,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6,0,0,Female,0,No,No
4443-EMBNA,71,Yes,Two year,No,Bank transfer (automatic),24.75,1836.9,0,0,Female,0,Yes,No
6469-MRVET,1,Yes,One year,Yes,Electronic check,20.2,20.2,0,0,Male,0,Yes,Yes
5961-VUSRV,12,Yes,One year,Yes,Bank transfer (automatic),19.35,219.35,0,0,Female,0,No,No
6778-JFCMK,24,No,One year,Yes,Mailed check,50.6,1288.75,0,0,Male,0,No,No
6341-JVQGF,31,Yes,One year,Yes,Mailed check,81.15,2545.75,0,0,Female,0,Yes,Yes
4811-JBUVU,30,Yes,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,0,0,Male,0,No,No
0945-TSONX,47,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,0,0,Female,0,Yes,Yes
2651-ZCBXV,54,Yes,Two year,Yes,Credit card (automatic),108.0,5760.65,0,0,Male,0,No,No
3316-UWXUY,50,Yes,Month-to-month,Yes,Credit card (automatic),93.5,4747.5,0,0,Male,0,No,No
7083-MIOPC,72,Yes,Two year,No,Credit card (automatic),20.25,1566.9,0,0,Female,0,No,No
1984-GPTEH,29,Yes,Month-to-month,No,Electronic check,25.15,702,0,0,Female,0,No,No
0621-JFHOL,10,No,Two year,Yes,Mailed check,29.6,299.05,0,0,Female,0,No,No
9903-LYSAB,18,Yes,Month-to-month,Yes,Electronic check,73.15,1305.95,0,0,Male,0,Yes,No
9227-UAQFT,16,Yes,Two year,No,Mailed check,19.75,284.35,0,0,Male,0,No,No
7301-ABVAD,72,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5,0,0,Female,0,No,No
6614-FHDBO,72,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,0,0,Male,0,No,No
7576-ASEJU,41,Yes,One year,Yes,Credit card (automatic),74.7,3187.65,0,0,Female,0,Yes,Yes
9058-HRZSV,65,Yes,Month-to-month,No,Electronic check,94.4,6126.15,0,0,Female,1,Yes,No
4522-AKYLR,13,Yes,Month-to-month,Yes,Electronic check,54.8,731.3,0,0,Female,1,No,No
0221-WMXNQ,4,Yes,Month-to-month,No,Electronic check,75.35,273.4,0,0,Male,1,No,No
0303-UNCIP,41,Yes,One year,No,Mailed check,65.0,2531.8,0,0,Male,0,No,No
0959-WHOKV,42,Yes,One year,Yes,Electronic check,99.0,4298.45,0,0,Male,0,No,No
4075-JFPGR,51,Yes,One year,Yes,Electronic check,93.5,4619.55,0,0,Female,0,Yes,No
3282-ZISZV,32,Yes,One year,No,Credit card (automatic),83.7,2633.3,0,0,Male,0,No,Yes
3675-YDUPJ,10,Yes,Month-to-month,Yes,Mailed check,19.85,193.05,0,0,Male,0,No,No
4111-BNXIF,67,No,Two year,Yes,Electronic check,59.55,4103.9,0,0,Female,0,Yes,Yes
7017-VFHAY,61,Yes,Two year,No,Credit card (automatic),115.1,7008.15,0,0,Female,0,Yes,Yes
6655-LHBYW,50,Yes,One year,No,Credit card (automatic),114.35,5791.1,0,0,Male,0,No,No
5046-NUHWD,29,No,Month-to-month,Yes,Electronic check,45.0,1228.65,0,0,Female,1,Yes,No
7529-ZDFXI,57,Yes,Month-to-month,Yes,Electronic check,89.85,4925.35,0,0,Male,1,Yes,No
7605-BDWDC,31,No,Two year,Yes,Bank transfer (automatic),49.85,1520.1,0,0,Female,0,No,No
1950-KSVVJ,45,Yes,One year,No,Mailed check,113.3,5032.25,0,0,Female,0,Yes,No
0123-CRBRT,61,Yes,Two year,No,Mailed check,88.1,5526.75,0,0,Female,0,Yes,Yes
6292-TOSSS,50,Yes,Two year,No,Bank transfer (automatic),24.9,1195.25,0,0,Male,0,No,No
3197-ARFOY,19,Yes,Month-to-month,Yes,Mailed check,105.0,2007.25,0,0,Female,1,No,No
7014-ZZXAW,71,Yes,Two year,Yes,Credit card (automatic),24.25,1732.95,0,0,Female,0,Yes,No
7633-MVPUY,57,Yes,Two year,Yes,Electronic check,59.75,3450.15,0,0,Male,0,Yes,No
4716-HHKQH,20,Yes,Month-to-month,No,Electronic check,107.05,2172.05,0,0,Male,1,Yes,No
3179-GBRWV,21,Yes,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8,0,0,Male,1,Yes,No
8645-KWHJO,14,No,Month-to-month,Yes,Electronic check,55.0,771.95,0,0,Male,0,No,No
4130-MZLCC,5,Yes,Month-to-month,No,Bank transfer (automatic),50.55,244.75,0,0,Female,0,No,No
0314-TKOSI,6,Yes,Month-to-month,No,Mailed check,55.15,322.9,0,0,Female,0,No,No
8229-MYEJZ,10,Yes,Month-to-month,No,Electronic check,51.2,498.25,0,0,Female,0,No,No
2080-SRCDE,1,Yes,Month-to-month,No,Mailed check,25.4,25.4,0,0,Female,0,No,Yes
9577-WJVCQ,68,Yes,Month-to-month,No,Mailed check,54.45,3687.75,0,0,Female,0,No,No
6202-DYYFX,22,Yes,One year,Yes,Credit card (automatic),76.0,1783.6,0,0,Female,0,No,No
3808-HFKDE,20,Yes,Month-to-month,Yes,Electronic check,44.35,927.15,0,0,Female,0,No,No
3727-OWVYD,35,Yes,One year,No,Mailed check,61.2,2021.2,0,0,Male,0,No,No
2294-SALNE,23,Yes,One year,No,Mailed check,86.8,1940.8,0,0,Male,0,Yes,Yes
4847-TAJYI,6,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,0,0,Female,1,No,No
1563-IWQEX,12,Yes,Month-to-month,No,Mailed check,19.7,220.35,0,0,Female,0,No,No
8203-XJZRC,1,Yes,Month-to-month,No,Mailed check,20.25,20.25,0,0,Male,0,No,No
6556-DBKZF,71,Yes,Two year,No,Electronic check,76.05,5436.45,0,0,Female,0,Yes,Yes
6851-WEFYX,35,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5,0,0,Male,1,Yes,No
2985-JUUBZ,40,Yes,Month-to-month,Yes,Electronic check,74.55,3015.75,0,0,Male,0,Yes,Yes
0895-LMRSF,23,Yes,One year,Yes,Bank transfer (automatic),64.9,1509.8,0,0,Male,0,No,No
8266-VBFQL,4,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,0,0,Male,0,No,No
8181-YHCMF,68,No,Two year,No,Credit card (automatic),60.3,4109,0,0,Female,0,Yes,Yes
2240-HSJQD,38,Yes,Month-to-month,Yes,Mailed check,81.85,3141.7,0,0,Male,0,No,Yes
1248-DYXUB,52,Yes,Two year,No,Mailed check,24.8,1229.1,0,0,Male,0,Yes,Yes
4115-BNPJY,29,Yes,Two year,No,Mailed check,75.55,2054.4,0,0,Male,0,Yes,Yes
3167-SNQPL,38,Yes,Month-to-month,No,Electronic check,101.15,3741.85,0,0,Male,1,Yes,Yes
4091-TVOCN,48,Yes,One year,Yes,Credit card (automatic),78.75,3682.45,0,0,Male,0,No,Yes
1098-TDVUQ,1,Yes,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,0,0,Female,0,No,No
7277-OZCGZ,22,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,0,0,Female,0,No,No
1557-EMYVT,43,Yes,Two year,No,Credit card (automatic),115.05,4895.1,0,0,Female,0,No,No
2799-ARNLO,5,Yes,Month-to-month,Yes,Electronic check,69.35,341.6,0,0,Female,1,Yes,No
5027-YOCXN,51,Yes,One year,No,Credit card (automatic),110.05,5686.4,0,0,Male,0,Yes,Yes
3973-SKMLN,71,Yes,Two year,Yes,Credit card (automatic),19.9,1355.1,0,0,Male,0,No,No
6745-JEFZB,35,Yes,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,0,0,Male,0,Yes,No
9880-TDQAC,72,No,Two year,Yes,Electronic check,60.0,4264,0,0,Female,0,Yes,Yes
8705-WZCYL,1,Yes,Month-to-month,Yes,Electronic check,44.8,44.8,0,0,Male,0,No,No
7102-JJVTX,9,Yes,One year,No,Mailed check,48.6,422.3,0,0,Female,0,Yes,Yes
8626-PTQGE,69,No,Two year,Yes,Bank transfer (automatic),60.05,4176.7,0,0,Male,0,No,No
4983-CLMLV,52,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,0,0,Female,0,Yes,No
5701-YVSVF,11,Yes,Month-to-month,Yes,Electronic check,82.9,880.05,0,0,Female,1,Yes,No
5697-GOMBF,28,No,Month-to-month,Yes,Electronic check,35.9,973.65,0,0,Female,1,Yes,Yes
2739-CACDQ,17,Yes,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,0,0,Female,1,No,No
9385-EHGDO,35,Yes,Two year,Yes,Mailed check,19.85,739.35,0,0,Female,0,Yes,Yes
9498-FIMXL,8,Yes,One year,Yes,Mailed check,19.2,161.95,0,0,Female,0,No,No
2379-GYFLQ,46,Yes,One year,Yes,Credit card (automatic),94.9,4422.95,0,0,Male,0,No,No
2088-IEBAU,68,Yes,Two year,Yes,Electronic check,88.15,6148.45,0,0,Female,0,No,No
7982-VCELR,36,Yes,Month-to-month,Yes,Credit card (automatic),94.8,3565.65,0,0,Female,0,No,No
6035-BXTTY,32,Yes,Month-to-month,No,Bank transfer (automatic),54.65,1830.1,0,0,Female,1,No,No
6885-PKOAM,71,Yes,Two year,No,Credit card (automatic),85.75,6223.8,0,0,Female,0,Yes,No
7520-HQWJU,66,Yes,Month-to-month,Yes,Bank transfer (automatic),67.45,4508.65,0,0,Female,0,Yes,Yes
